dataset,image,scale,method,degradation,lr_source_file,metric_border_pixels,dimension_policy,ssim_protocol,nedi_window_size,nedi_edge_threshold,nedi_scale_strategy,nedi_native_passes,nedi_edge_pixel_count,nedi_pixel_count,nedi_bilinear_fallback_count,nedi_numerical_fallback_count,nedi_dimension_adjustment,nedi_native_width,nedi_native_height,nedi_sampling_grid,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,latency_std_ms,latency_min_ms,latency_max_ms,warmup_runs,timed_runs,hr_width,hr_height,lr_width,lr_height,generated_at_utc,python_version,numpy_version,pillow_version,skimage_version,operating_system,processor,compute_instance,execution_mode,worker_count
Urban100,img_068.png,x2,nedi,prepared_bicubic_lr,img_068.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,367702,362970,422439,0,False,1024,1024,even_insertion_2x_half_pixel_aligned,32.47006744269348,0.9287326877770643,31.01055214943706,0.916171455214005,56434.5508289,56136.402837500005,1350.2575851709512,54028.222527,58134.971226,3,10,1024,1024,512,512,2026-08-30T20:08:53.495086+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_069.png,x2,nedi,prepared_bicubic_lr,img_069.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,454904,449783,290806,0,False,1200,824,even_insertion_2x_half_pixel_aligned,26.290229328440216,0.82941354170997,24.955612975699452,0.8162064954598051,55350.8746743,54787.0847095,1470.5708447300628,53526.489412,58265.712204,3,10,1200,824,600,412,2026-08-30T20:12:28.132488+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_070.png,x2,nedi,prepared_bicubic_lr,img_070.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,362032,358311,230618,0,False,1024,768,even_insertion_2x_half_pixel_aligned,23.214097007798777,0.6898294563483092,21.88362212120405,0.6736992803726233,43623.0629519,43493.904141499996,714.1005798209361,42723.947236,45212.846663,3,10,1024,768,512,384,2026-08-30T20:12:28.045721+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_071.png,x2,nedi,prepared_bicubic_lr,img_071.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,362024,356960,231969,0,False,1024,768,even_insertion_2x_half_pixel_aligned,28.618603597856783,0.7464088764668267,27.20760716200925,0.7205202860954302,43668.6156345,43662.9716665,912.0949721991527,42402.264858,45536.193007,3,10,1024,768,512,384,2026-08-30T20:14:03.816482+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_072.png,x2,nedi,prepared_bicubic_lr,img_072.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,373677,369417,151972,0,False,680,1024,even_insertion_2x_half_pixel_aligned,20.60600105956029,0.8339356456101388,19.28407974768355,0.8287214219551466,40065.9669332,40101.1841775,685.3999551130911,38861.421402,40953.976023,3,10,680,1024,340,512,2026-08-30T20:17:37.537823+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_073.png,x2,nedi,prepared_bicubic_lr,img_073.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,532735,526429,59430,0,False,1024,764,even_insertion_2x_half_pixel_aligned,22.767390782797143,0.727878820417148,21.53423704967638,0.7153896141502031,47838.866215,47782.3720715,436.42758535279887,47066.914518,48740.107268,3,10,1024,764,512,382,2026-08-30T20:22:50.461637+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_074.png,x2,nedi,prepared_bicubic_lr,img_074.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,289759,288178,233211,0,False,680,1024,even_insertion_2x_half_pixel_aligned,25.19275708726132,0.7921824146261275,23.777186149491428,0.7877282217155849,37392.107251,37348.179285499995,534.8734430905945,36600.794597,38203.485344,3,10,680,1024,340,512,2026-08-30T20:20:34.121478+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_075.png,x2,nedi,prepared_bicubic_lr,img_075.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,148286,146439,374950,0,False,1024,680,even_insertion_2x_half_pixel_aligned,31.217811590735774,0.9008578104102343,29.434096842161182,0.8830045371879779,32805.1131392,32736.313831,382.63759001332556,32195.447423,33405.424834,3,10,1024,680,512,340,2026-08-30T20:21:11.258315+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_076.png,x2,nedi,prepared_bicubic_lr,img_076.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,329019,324904,193415,0,False,1024,676,even_insertion_2x_half_pixel_aligned,25.581453020056053,0.8584059590995557,24.09863840352434,0.8393452385803412,40033.2832927,39969.670637999996,1701.6382980953483,37690.434361,43031.06998,3,10,1024,676,512,338,2026-08-30T20:26:12.389469+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_077.png,x2,nedi,prepared_bicubic_lr,img_077.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,325492,321335,200054,0,False,1024,680,even_insertion_2x_half_pixel_aligned,23.927989639595438,0.7561305047718652,22.553986591494745,0.7399107138340802,40841.0603328,40938.426628,942.0803860267396,39223.869934,42587.449217,3,10,1024,680,512,340,2026-08-30T20:29:20.680389+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
