dataset,image,scale,method,degradation,lr_source_file,metric_border_pixels,dimension_policy,ssim_protocol,nedi_window_size,nedi_edge_threshold,nedi_scale_strategy,nedi_native_passes,nedi_edge_pixel_count,nedi_pixel_count,nedi_bilinear_fallback_count,nedi_numerical_fallback_count,nedi_dimension_adjustment,nedi_native_width,nedi_native_height,nedi_sampling_grid,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,latency_std_ms,latency_min_ms,latency_max_ms,warmup_runs,timed_runs,hr_width,hr_height,lr_width,lr_height,generated_at_utc,python_version,numpy_version,pillow_version,skimage_version,operating_system,processor,compute_instance,execution_mode,worker_count
BSD100,101087.png,x3,nedi,prepared_bicubic_lr,101087.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,21387,20707,30387,0,True,214,320,even_insertion_2x_half_pixel_aligned,28.075111497106832,0.7988167562513454,26.727842362866024,0.7834408035579754,3221.8623263,3230.8641875000003,65.0243077727849,3087.080645,3337.684008,3,10,321,481,107,160,2026-08-31T17:20:27.869625+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
BSD100,102061.png,x3,nedi,prepared_bicubic_lr,102061.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,21046,20543,30551,0,True,214,320,even_insertion_2x_half_pixel_aligned,25.815327000145665,0.7832088945662863,24.438820183610957,0.7633723614295688,3225.9044554,3217.5665515,55.82089225840098,3112.073829,3341.464761,3,10,321,481,107,160,2026-08-31T17:20:28.174319+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
BSD100,103070.png,x3,nedi,prepared_bicubic_lr,103070.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,34128,32603,18491,0,True,320,214,even_insertion_2x_half_pixel_aligned,30.275273228300968,0.8415057358084725,28.85951567011076,0.824780288083784,3601.1701361,3581.328679,65.6917807739204,3531.242597,3728.21836,3,10,481,321,160,107,2026-08-31T17:20:32.850203+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
BSD100,105025.png,x3,nedi,prepared_bicubic_lr,105025.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,36093,34742,16352,0,True,320,214,even_insertion_2x_half_pixel_aligned,26.15915598547927,0.7021419992656001,24.810653400304282,0.6809562467662308,3601.6798207,3599.554453,40.414539594125124,3536.639107,3655.266838,3,10,481,321,160,107,2026-08-31T17:21:14.818664+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
BSD100,106024.png,x3,nedi,prepared_bicubic_lr,106024.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,21859,20423,30671,0,True,320,214,even_insertion_2x_half_pixel_aligned,32.49586303923546,0.8888542472871566,30.992668487576562,0.8735691813470244,3234.9182331,3231.8262674999996,41.01406979404983,3167.119753,3299.289085,3,10,481,321,160,107,2026-08-31T17:21:10.360093+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
BSD100,108005.png,x3,nedi,prepared_bicubic_lr,108005.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,40478,38899,12195,0,True,320,214,even_insertion_2x_half_pixel_aligned,26.08398148813809,0.7385602510792051,24.783456188456704,0.7085985633069306,3756.7427477,3750.6636900000003,54.425139571664246,3667.789384,3844.005381,3,10,481,321,160,107,2026-08-31T17:21:21.733765+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
BSD100,108070.png,x3,nedi,prepared_bicubic_lr,108070.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,40229,38598,12496,0,True,320,214,even_insertion_2x_half_pixel_aligned,23.080515649002002,0.5811181285606151,21.777029689096018,0.5455794625126701,3801.9803972,3780.0959105,72.36779111408558,3700.541104,3949.583054,3,10,481,321,160,107,2026-08-31T17:21:25.268858+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
BSD100,108082.png,x3,nedi,prepared_bicubic_lr,108082.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,32739,31686,19408,0,True,320,214,even_insertion_2x_half_pixel_aligned,27.125834983447156,0.7785504679827265,25.773132558192092,0.7555732920225114,3539.1915042,3554.0655509999997,43.44586521940013,3440.357199,3615.304366,3,10,481,321,160,107,2026-08-31T17:21:56.712134+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
BSD100,109053.png,x3,nedi,prepared_bicubic_lr,109053.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,30925,29641,21453,0,True,320,214,even_insertion_2x_half_pixel_aligned,29.0008301294236,0.7952181519745785,27.62961667278165,0.77486943155126,3480.647287,3475.2871640000003,38.180695481630096,3436.262136,3569.506224,3,10,481,321,160,107,2026-08-31T17:22:00.309777+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
BSD100,119082.png,x3,nedi,prepared_bicubic_lr,119082.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,36528,34985,16109,0,True,320,214,even_insertion_2x_half_pixel_aligned,23.300779054512812,0.6747411890041926,21.993687614350847,0.6485968646337259,3633.6913176,3632.1208855,41.37173610561378,3564.664301,3698.546972,3,10,481,321,160,107,2026-08-31T17:22:09.053556+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
