dataset,image,scale,method,psnr,ssim,runtime_ms
Urban100,img_064.png,x2,bicubic,27.530104684621396,0.8814049920139929,12.04731100006029
Urban100,img_065.png,x2,bicubic,26.366764429120867,0.8591340205390058,22.43558500049403
Urban100,img_066.png,x2,bicubic,22.604273758872047,0.7750918177045015,28.83969899994554
Urban100,img_067.png,x2,bicubic,19.40679099115289,0.8718590609197627,20.391845999256475
Urban100,img_068.png,x2,bicubic,30.523640963099837,0.9198484475913452,31.718500998977106
Urban100,img_069.png,x2,bicubic,25.00944914398342,0.8393860267568057,29.88478900078917
Urban100,img_070.png,x2,bicubic,22.09026014602793,0.7198493206725676,24.570165998738958
Urban100,img_071.png,x2,bicubic,27.363562998327065,0.7543382078344537,23.044411000228138
Urban100,img_072.png,x2,bicubic,19.080553867817795,0.8270943555453146,12.488739999753307
Urban100,img_073.png,x2,bicubic,22.110796614284244,0.7862416664523307,13.528585999665665
Urban100,img_074.png,x2,bicubic,23.631184026026382,0.794057162126744,12.205050999909872
Urban100,img_075.png,x2,bicubic,28.960159763125564,0.8821977487970664,12.166796001110924
Urban100,img_076.png,x2,bicubic,24.527408700070858,0.872909110911617,12.106611999115557
Urban100,img_077.png,x2,bicubic,22.842798183313846,0.7825741738071917,20.222655000907253
Urban100,img_078.png,x2,bicubic,28.68269902323889,0.8569121614333803,13.206298999648425
Urban100,img_079.png,x2,bicubic,25.755475810434906,0.7917322313388362,13.594896001450252
Urban100,img_080.png,x2,bicubic,35.62027260824598,0.9635741648871853,13.863512000170886
Urban100,img_081.png,x2,bicubic,32.191589276110136,0.9565194026379705,18.36554600049567
Urban100,img_082.png,x2,bicubic,31.699936810263015,0.9456838380426652,18.394991000604932
Urban100,img_083.png,x2,bicubic,22.192567791784505,0.7863699579044887,17.75414700023248
Urban100,img_084.png,x2,bicubic,29.110647250709782,0.8792975805350789,18.052309000267996
Urban100,img_085.png,x2,bicubic,29.253196145212176,0.9430713936796759,12.40925199999765
Urban100,img_086.png,x2,bicubic,31.482833141394284,0.9305659400944316,14.102449000347406
Urban100,img_087.png,x2,bicubic,25.385959909127493,0.8693814995105885,20.77508399997896
Urban100,img_088.png,x2,bicubic,20.378733653450315,0.7296365288259142,12.072883999280748
Urban100,img_089.png,x2,bicubic,27.739865277187526,0.837570337510878,15.769538000313332
Urban100,img_090.png,x2,bicubic,35.096645334098724,0.9636501092130213,17.617050998524064
Urban100,img_091.png,x2,bicubic,23.92568209977047,0.7898867754033906,18.081728001561714
Urban100,img_092.png,x2,bicubic,17.716044900644327,0.6575658420129054,30.84577499976149
Urban100,img_093.png,x2,bicubic,27.96273439877045,0.9342130715209116,23.238089999722433
Urban100,img_094.png,x2,bicubic,26.949042098612566,0.8373670188982912,24.861103000148432
Urban100,img_095.png,x2,bicubic,20.08806143671383,0.6261379667216885,24.534853999284678
Urban100,img_096.png,x2,bicubic,24.016305450311766,0.8687256916572362,23.386054999718908
Urban100,img_097.png,x2,bicubic,24.854120525732,0.8342258558212206,20.853588999671047
Urban100,img_098.png,x2,bicubic,20.739924090992517,0.6778216612299023,20.77108999947086
Urban100,img_099.png,x2,bicubic,23.706104291922085,0.7987083665348639,14.61984100023983
Urban100,img_100.png,x2,bicubic,22.325418400497526,0.7422329895212566,18.122159999620635
