dataset,scale,method,image_count,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,timing_device,timing_context,parameter_count,peak_gpu_memory_mean_mb,peak_gpu_memory_max_mb,psnr_y_rank,ssim_y_rank,psnr_rgb_rank,ssim_rgb_rank,psnr_y_vs_bicubic_db,ssim_y_vs_bicubic
Set5,x4,fsrcnn,5,30.49830298746281,0.8597311268491276,28.5159437668074,0.8203014601854719,0.7621017622947692,0.751331216096878,gpu,GPU; NVIDIA Tesla T4,12809,5.0638671875,11.6201171875,2,2,2,2,2.069047117859398,0.04865633320268914
Set5,x4,imdn,5,32.207381161182674,0.8948408719402351,30.29961144570984,0.8644762538310152,7.301709394454956,6.9516479015350345,gpu,GPU; NVIDIA Tesla T4,715176,34.15810546875,62.9296875,1,1,1,1,3.7781252915792614,0.08376607829379668
Set14,x2,bicubic,14,30.346016169909227,0.8701414235356757,28.539660622934207,0.8428156596204424,6.144668664285715,5.860186107142857,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
Set14,x2,nedi,14,29.875492808619732,0.855045800494182,28.045650143634287,0.8253634521381616,12856.77789582857,12783.350557821428,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.47052336128949435,-0.0150956230414937
Set14,x2,fsrcnn,14,32.66014112821545,0.9090116623750097,30.529800450295745,0.8803816682704413,2.5972523357187,2.593858288867133,gpu,GPU; NVIDIA Tesla T4,12809,38.055245535714285,68.75,2,2,2,2,2.3141249583062233,0.03887023883933405
Set14,x2,imdn,14,33.57312426920769,0.917553197923336,31.51238865672106,0.8938495374867966,27.12368984903608,27.15228005817958,gpu,GPU; NVIDIA Tesla T4,694404,218.09660993303572,431.32666015625,1,1,1,1,3.227108099298462,0.04741177438766031
Set14,x3,bicubic,14,27.622571065068602,0.7751851738992321,25.936589277183778,0.7394344941822176,6.4508017,6.279665607142857,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
Set14,x3,nedi,14,27.295662965937282,0.7588076188483568,25.59616026907107,0.7205302122522825,5026.176795828572,5021.6873347857145,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.3269080991313196,-0.016377555050875348
Set14,x3,fsrcnn,14,29.228906638001718,0.8179893362662051,27.32082661179548,0.7793826166310417,1.4774416037968228,1.4360274480921882,gpu,GPU; NVIDIA Tesla T4,12809,17.430315290178573,31.6591796875,2,2,2,2,1.6063355729331157,0.04280416236697293
Set14,x3,imdn,14,30.307980693153176,0.8404284846298359,28.41744025599505,0.8079262631080265,14.233848929405212,14.219766957419258,gpu,GPU; NVIDIA Tesla T4,703059,92.92463030133929,166.7197265625,1,1,1,1,2.6854096280845745,0.06524331073060374
Set14,x4,bicubic,14,26.094823561386495,0.7045426731288671,24.46680938331497,0.6633901729685394,3.77052725,3.74733025,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
Set14,x4,nedi,14,25.696953632659522,0.6863454609049672,24.021089389324985,0.6409805398761687,12813.969239342858,12801.45082025,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.3978699287269727,-0.018197212223899917
Set14,x4,fsrcnn,14,27.56393370071066,0.7510102260100288,25.731055975198625,0.7057422422633768,1.078252801299095,1.0268297110285078,gpu,GPU; NVIDIA Tesla T4,12809,10.224400111607142,18.57470703125,2,2,2,2,1.4691101393241652,0.04646755288116167
Set14,x4,imdn,14,28.588922132334716,0.7804861742037698,26.78115382096655,0.7425362992752531,7.899375081062317,7.938437615122114,gpu,GPU; NVIDIA Tesla T4,715176,56.458705357142854,96.41015625,1,1,1,1,2.4940985709482213,0.07594350107490266
BSD100,x2,bicubic,100,29.59837191121926,0.844629898681799,28.266996543244684,0.8308014592009962,3.186390143,3.12820867,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
BSD100,x2,nedi,100,29.04559853226085,0.8204085117779955,27.652769446209188,0.8027015797438344,8261.011700173,8248.19284064,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.5527733789584097,-0.0242213869038036
BSD100,x2,fsrcnn,100,31.355701192093633,0.8875065789492717,29.99559792286027,0.8770564440500582,1.8035251171588897,1.7915475207567215,gpu,GPU; NVIDIA Tesla T4,12809,25.3994140625,25.3994140625,2,2,2,2,1.757329280874373,0.0428766802674726
BSD100,x2,imdn,100,31.98284121387577,0.896776678319952,30.623181659071413,0.8870501042073925,18.129682138442995,18.0808314037323,gpu,GPU; NVIDIA Tesla T4,694404,136.1103515625,136.1103515625,1,1,1,1,2.384469302656509,0.05214677963815295
BSD100,x3,bicubic,100,27.20041471294062,0.7387246805278582,25.874709727030908,0.7159541691947059,3.049588394,2.995207845,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
BSD100,x3,nedi,100,26.850632466848026,0.7174069959679994,25.48934811706289,0.6912366566905982,3381.122205255,3379.0339483,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.34978224609259456,-0.02131768455985883
BSD100,x3,fsrcnn,100,28.27522912563692,0.7822344022526883,26.92167598582306,0.7622163434516623,1.0960624334812163,1.0763867223262786,gpu,GPU; NVIDIA Tesla T4,12809,11.6826171875,11.6826171875,2,2,2,2,1.0748144126962984,0.04350972172483003
BSD100,x3,imdn,100,29.07297719135551,0.8038820372481578,27.72296012630437,0.7856940931117465,8.736279136180878,9.061012773513793,gpu,GPU; NVIDIA Tesla T4,703059,63.28515625,63.28515625,1,1,1,1,1.8725624784148884,0.06515735672029954
